id,조사연도,조사시작일자,조사종료일자,한글보통명,학명,경도,위도,개체수,시도명
008020194000000300,2017.0,2017-05-17,2017-05-17,어치,Garrulus glandarius,129.31354900001202,36.925240999991374,2.0,경상북도
008020194000000640,2017.0,2017-10-18,2017-10-18,진박새,Parus ater,129.22699700000982,36.903043999993145,2.0,경상북도
008020194000000301,2017.0,2017-05-17,2017-05-17,큰부리까마귀,Corvus macrorhynchos,129.31354900001202,36.925240999991374,1.0,경상북도
008020194000000302,2017.0,2017-05-17,2017-05-17,박새,Parus major,129.31354900001202,36.925240999991374,2.0,경상북도
008020194000000303,2017.0,2017-05-17,2017-05-17,멧비둘기,Streptopelia orientalis,129.31428900001205,36.92565499999135,1.0,경상북도
008020194000000304,2017.0,2017-05-17,2017-05-17,큰부리까마귀,Corvus macrorhynchos,129.31428900001205,36.92565499999135,1.0,경상북도
008020194000000305,2017.0,2017-05-17,2017-05-17,쇠박새,Parus palustris,129.31428900001205,36.92565499999135,2.0,경상북도
008020194000000306,2017.0,2017-05-17,2017-05-17,곤줄박이,Parus varius,129.31272800001202,36.928597999991396,1.0,경상북도
008020194000000307,2017.0,2017-05-17,2017-05-17,흰배지빠귀,Turdus pallidus,129.31272800001202,36.928597999991396,1.0,경상북도
008020194000000308,2017.0,2017-05-17,2017-05-17,직박구리,Microscelis amaurotis,129.31241600001198,36.929205999991396,4.0,경상북도
