id,학명,한글보통명,위도,경도,조사일자,조사연도,시도명,개체수,geometry
008000000002341300,Eurystomus orientalis,파랑새,36.76363889091906,128.50147189996025,2014-06-26,2014,경상북도,,POINT (334065.4589999998 463834.1916000005)
008000000002097821,Turdus hortulorum,되지빠귀,36.84150000106143,129.08736110004008,2014-06-26,2014,경상북도,2,POINT (386196.1253000004 473457.4187000003)
008000000002097836,Cuculus canorus,뻐꾸기,36.84986111064799,129.06847189989423,2014-06-26,2014,경상북도,2,POINT (384490.8685999997 474348.8013000004)
008000000002097831,Cuculus saturatus,벙어리뻐꾸기,36.84425000122877,129.0799439003825,2014-06-26,2014,경상북도,1,POINT (385527.7688999996 473748.2207999993)
008000000002097841,Turdus hortulorum,되지빠귀,36.85511111106156,129.12355609993634,2014-06-26,2014,경상북도,2,POINT (389391.6004999997 475039.3836000003)
008000000002275910,Cuculus canorus,뻐꾸기,36.82538889117905,129.09227810013206,2014-06-26,2014,경상북도,1,POINT (386673.9507999998 471678.7555)
008000000002343305,Alcedo atthis,물총새,36.83652806086056,128.58455609989412,2014-06-26,2014,경상북도,,POINT (341350.4689999996 472043.4813000001)
008000000002341323,Cuculus canorus,뻐꾸기,36.76544389056705,128.5683888994464,2014-06-26,2014,경상북도,,POINT (340037.5697999997 464130.3521999996)
008000000002097419,Cuculus hyperythrus,매사촌,36.8189438910722,129.0899439002594,2014-06-26,2014,경상북도,1,POINT (386481.3121999996 470958.8324999996)
008000000002097850,Cuculus micropterus,검은등뻐꾸기,36.85947194101951,129.04299999959,2014-06-26,2014,경상북도,1,POINT (382195.8838999998 475366.6417999994)
008000000002342958,Cuculus canorus,뻐꾸기,36.7848061109202,128.54644390027065,2014-06-26,2014,경상북도,,POINT (338043.2860000003 466247.3790000007)
008000000002343275,Cuculus canorus,뻐꾸기,36.83180611088576,128.55775000010965,2014-06-26,2014,경상북도,,POINT (338967.6039000005 471480.0846999995)
008000000002342912,Cuculus canorus,뻐꾸기,36.77805611091733,128.50033310011705,2014-06-26,2014,경상북도,,POINT (333938.6821999997 465432.6809999999)
008000000002097854,Cuculus canorus,뻐꾸기,36.862958061206,129.04645610012446,2014-06-26,2014,경상북도,1,POINT (382495.8437000001 475760.1855999995)
008000000002343356,Eurystomus orientalis,파랑새,36.84397194128751,128.5687219002347,2014-06-26,2014,경상북도,,POINT (339924.3110999996 472846.3407000005)
008000000002342917,Cuculus canorus,뻐꾸기,36.78158306092673,128.5342780994412,2014-06-26,2014,경상북도,,POINT (336962.9687000001 465872.1807000004)
008000000002285852,Eurystomus orientalis,파랑새,36.86513889108709,128.55177809955563,2014-06-26,2014,경상북도,,POINT (338374.7087000003 475170.8988000005)
008000000002341299,Cuculus canorus,뻐꾸기,36.763083060666006,128.54174999968583,2014-06-26,2014,경상북도,,POINT (337663.1035000002 463829.6846999992)
008000000002343103,Cuculus canorus,뻐꾸기,36.80369389088384,128.57477810033802,2014-06-26,2014,경상북도,,POINT (340538.2004000004 468384.9193999991)
008000000002096221,Cuculus canorus,뻐꾸기,36.81097194071827,126.6518611001149,2014-06-26,2014,충청남도,,POINT (168934.9789000005 468091.9516000003)
008000000002097817,Cuculus hyperythrus,매사촌,36.8391938906928,129.0919718996004,2014-06-26,2014,경상북도,1,POINT (386613.0743000004 473210.4499999993)
008000000002285841,Cuculus canorus,뻐꾸기,36.85891694113072,128.55602809998086,2014-06-26,2014,경상북도,,POINT (338764.9678999996 474486.5136999991)
008000000002343362,Alcedo atthis,물총새,36.84597194065054,128.56491690037163,2014-06-26,2014,경상북도,,POINT (339581.2585000005 473062.7465000004)
008000000002343267,Cuculus canorus,뻐꾸기,36.826778060859525,128.5373611001194,2014-06-26,2014,경상북도,,POINT (337157.5536000002 470892.5823999997)
008000000002294603,Cuculus canorus,뻐꾸기,36.84980611090317,129.03508309997613,2014-06-26,2014,경상북도,1,POINT (381512.6317999996 474278.7051999997)
008000000002343278,Cuculus micropterus,검은등뻐꾸기,36.8334169409858,128.51199999996467,2014-06-26,2014,경상북도,,POINT (334883.1231000004 471593.3006999996)
008000000002097837,Alcedo atthis,물총새,36.851443890601175,129.12058309964326,2014-06-26,2014,경상북도,1,POINT (389135.4559000004 474626.4416000005)
008000000002275912,Cuculus canorus,뻐꾸기,36.83265056073362,129.10662219971726,2014-06-26,2014,경상북도,1,POINT (387936.1284999996 472512.8936000001)
008000000002097861,Cuculus canorus,뻐꾸기,36.876111111230074,129.0089439003383,2014-06-26,2014,경상북도,1,POINT (379119.5192999998 477149.0425000004)
